date,portfolio_value
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-20,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-17,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,99931.0
2020-02-25,98770.53606033325
2020-02-26,98944.60311889648
2020-02-27,97004.36267089844
2020-02-28,97004.36267089844
2020-03-02,96866.36267089844
2020-03-03,98422.34521484375
2020-03-04,98809.25751495361
2020-03-05,97209.8123703003
2020-03-06,92200.7498550415
2020-03-09,88604.46143341064
2020-03-10,88037.259765625
2020-03-11,86869.33558654785
2020-03-12,73573.27961730957
2020-03-13,76596.6481552124
2020-03-16,72288.49802398682
2020-03-17,73986.54690551758
2020-03-18,71835.5414276123
2020-03-19,74805.19386768341
2020-03-20,74616.82969474792
2020-03-23,71283.24208927155
2020-03-24,76634.0608329773
2020-03-25,79625.35307979584
2020-03-26,81249.7713804245
2020-03-27,81061.56965732574
2020-03-30,81519.48005199432
2020-03-31,83499.9231042862
2020-04-01,82661.74443721771
2020-04-02,81482.78082561493
2020-04-03,82680.02643680573
2020-04-06,85946.38785457611
2020-04-07,87476.44049930573
2020-04-08,88364.83705615997
2020-04-09,88583.8245973587
2020-04-14,94817.56705379486
2020-04-15,89633.46744060516
2020-04-16,91820.70254611969
2020-04-17,94396.2077703476
2020-04-20,95542.79989337921
2020-04-21,93761.12641811371
2020-04-22,95250.28487300873
2020-04-23,94627.93002033234
2020-04-24,93375.52384471893
2020-04-27,94933.20136928558
2020-04-28,96423.38556194305
2020-04-29,96909.80766582489
2020-04-30,97057.41337871552
2020-05-04,94797.24620342255
2020-05-05,95537.49112224579
2020-05-06,95962.08278942108
2020-05-07,99662.5203256607
2020-05-08,101481.15193462372
2020-05-11,102072.71694278717
2020-05-12,104385.79683589935
2020-05-13,101799.31195163727
2020-05-14,99208.55871486664
2020-05-15,99854.81152629852
2020-05-18,102259.31614780426
2020-05-19,102995.63477230072
2020-05-20,103500.76771640778
2020-05-22,104615.67653751373
2020-05-25,106004.59313488007
2020-05-26,106291.29418849945
2020-05-27,103158.61536121368
2020-05-28,106121.37903499603
2020-05-29,106874.70425510406
2020-06-01,107979.09180927277
2020-06-02,109547.19058895111
2020-06-03,112185.98110294342
2020-06-04,112064.31770038605
2020-06-05,113564.6702451706
2020-06-08,112928.39779567719
2020-06-09,114376.44805622101
2020-06-10,115807.51830768585
2020-06-11,110945.3657503128
2020-06-12,110673.75524997711
2020-06-15,112407.01004886627
2020-06-16,115099.6087808609
2020-06-17,116383.31243991852
2020-06-18,114602.30685710907
2020-06-22,113604.73573970795
2020-06-23,116339.52042293549
2020-06-24,113356.39411067963
2020-06-25,114610.6918592453
2020-06-26,115251.7427854538
2020-06-29,114624.07371616364
2020-06-30,114920.17381381989
2020-07-01,115878.22386264801
2020-07-02,119858.95475292206
2020-07-03,119600.81590938568
2020-07-06,122231.37444210052
2020-07-07,120982.23823451996
2020-07-08,120100.15912532806
2020-07-09,119940.98861789703
2020-07-10,119841.47215557098
2020-07-13,120970.9445734024
2020-07-14,117479.47726726532
2020-07-15,119151.40012264252
2020-07-16,118560.09070110321
2020-07-17,118903.72863292694
2020-07-20,120363.152510643
2020-07-21,118540.49590778351
2020-07-22,118417.73849391937
2020-07-23,117241.97264003754
2020-07-24,113505.34807300568
2020-07-27,116325.6620836258
2020-07-28,114470.93924999237
2020-07-29,115560.36309146881
2020-07-30,112593.6986322403
2020-07-31,114817.53214550018
2020-08-03,121153.48553180695
2020-08-04,122284.36603832245
2020-08-05,124665.81257343292
2020-08-06,126040.7567949295
2020-08-07,129356.52690792084
2020-08-10,128006.36190128326
2020-08-11,129449.4994764328
2020-08-12,127920.1876077652
2020-08-13,139805.18634319305
2020-08-14,137083.61033535004
2020-08-17,140698.69719600677
2020-08-18,140005.51038265228
2020-08-19,142544.82366085052
2020-08-20,141281.9701089859
2020-08-21,141494.17244815826
2020-08-24,142595.1648721695
2020-08-25,141891.7265996933
2020-08-26,143787.99917507172
2020-08-27,143207.72292804718
2020-08-28,142278.0531873703
2020-08-31,141133.59885120392
2020-09-01,141462.9511499405
2020-09-02,141375.7812128067
2020-09-03,133533.19656848907
2020-09-04,132327.59000492096
2020-09-07,135890.4115667343
2020-09-08,133441.78130817413
2020-09-09,136447.9962053299
2020-09-10,135790.45027446747
2020-09-11,135499.87130832672
2020-09-14,137393.57491016388
2020-09-15,137512.4247713089
2020-09-16,138198.009390831
2020-09-17,138268.82394886017
2020-09-18,139100.8205728531
2020-09-21,134892.87742710114
2020-09-22,136764.25237560272
2020-09-23,140206.94873332977
2020-09-24,137909.5584344864
2020-09-25,141135.89725017548
2020-09-28,142550.612950325
2020-09-29,141850.63534832
2020-09-30,142301.0911359787
2020-10-01,142216.15377521515
2020-10-02,140762.26678943634
2020-10-05,144458.478764534
2020-10-06,143441.6335477829
2020-10-07,143047.086935997
2020-10-08,147004.53104496002
2020-10-09,145876.7122774124
2020-10-12,152007.62830257416
2020-10-13,151796.92997074127
2020-10-14,153025.18129062653
2020-10-15,148241.7033662796
2020-10-16,148403.93724918365
2020-10-19,148381.86251163483
2020-10-20,146178.39979839325
2020-10-21,142665.87094974518
2020-10-22,142496.82883358002
2020-10-23,142382.5039358139
2020-10-26,137640.82124614716
2020-10-27,140321.75761127472
2020-10-28,135243.47332286835
2020-10-29,135295.7280778885
2020-10-30,137552.95020771027
2020-11-02,136228.28397655487
2020-11-03,139080.9504327774
2020-11-04,144754.92315006256
2020-11-05,153876.71927928925
2020-11-06,153746.47246074677
2020-11-09,148986.35666751862
2020-11-10,144626.59423732758
2020-11-11,146127.96151065826
2020-11-12,145977.61600208282
2020-11-13,148557.6296415329
2020-11-16,147547.36007213593
2020-11-17,147697.0269613266
2020-11-18,148535.7529706955
2020-11-19,147958.90364551544
2020-11-20,146851.67185115814
2020-11-23,140107.32571315765
2020-11-24,138248.1486272812
2020-11-25,136591.83216381073
2020-11-26,138307.17520046234
2020-11-27,140679.32087993622
2020-11-30,141194.14049816132
2020-12-01,141987.40017986298
2020-12-02,140716.8890028
2020-12-03,142500.62178325653
2020-12-04,144638.33663463593
2020-12-07,145945.57744121552
2020-12-08,149379.2445821762
2020-12-09,149536.204993248
2020-12-10,147175.21261882782
2020-12-11,148531.20363140106
2020-12-14,150351.9819173813
2020-12-15,150492.8750371933
2020-12-16,149327.53941631317
2020-12-17,152089.92563915253
2020-12-18,153818.89226055145
2020-12-21,149541.54535198212
2020-12-22,154442.27493572235
2020-12-23,155012.621424675
2020-12-28,156170.08732128143
2020-12-29,156147.94889354706
2020-12-30,155429.1183576584
2021-01-04,159794.72443675995
2021-01-05,160610.2136144638
2021-01-07,161371.49090099335
2021-01-08,160192.12942028046
2021-01-11,158008.27218914032
2021-01-12,155822.26671886444
2021-01-13,159128.7549352646
2021-01-14,161193.1508588791
2021-01-15,157816.6809720993
2021-01-18,159014.21996593475
2021-01-19,160721.37539958954
2021-01-20,164004.0710477829
2021-01-21,166133.14794826508
2021-01-22,167413.06418132782
2021-01-25,166848.53242397308
2021-01-26,167498.16280651093
2021-01-27,163932.291762352
2021-01-28,161038.25718212128
2021-01-29,159681.26126766205
2021-02-01,167666.42266368866
2021-02-02,169616.11550426483
2021-02-03,172930.01029491425
2021-02-04,174367.88808345795
