ticker,recommendation,pred_prob
TELIA.ST,Neutral,0.5035559
NIBE-B.ST,Sälj,0.48523393
ADDT-B.ST,Sälj,0.48021814
SHB-A.ST,Sälj,0.47367564
INVE-B.ST,Sälj,0.46249154
LIFCO-B.ST,Sälj,0.46062553
EQT.ST,Sälj,0.4540293
INDU-C.ST,Sälj,0.45191175
ABB.ST,Sälj,0.4338859
BOL.ST,Sälj,0.42632788
EPI-A.ST,Sälj,0.4245109
EVO.ST,Sälj,0.42280412
ALFA.ST,Sälj,0.4221662
ERIC-B.ST,Sälj,0.41562033
VOLV-B.ST,Sälj,0.39884976
HEXA-B.ST,Sälj,0.39754206
AZN.ST,Sälj,0.39555046
SAND.ST,Sälj,0.3921611
HM-B.ST,Sälj,0.3893564
SEB-A.ST,Sälj,0.38804954
ATCO-A.ST,Sälj,0.38380972
NDA-SE.ST,Sälj,0.3787295
SKF-B.ST,Sälj,0.3727884
ESSITY-B.ST,Sälj,0.37097004
ASSA-B.ST,Sälj,0.35803083
SWED-A.ST,Sälj,0.3492661
SKA-B.ST,Sälj,0.33631548
SCA-B.ST,Sälj,0.32610998
SAAB-B.ST,Sälj,0.3219291
TEL2-B.ST,Sälj,0.32024765
