date,action,ticker,price,shares,fee,cash_after,reason
2020-04-01,BUY,BOL.ST,150.58,166,69,74935,BUY-SIGNAL
2020-04-01,BUY,HM-B.ST,100.59,248,69,49920,BUY-SIGNAL
2020-04-01,BUY,SAAB-B.ST,44.15,566,69,24861,BUY-SIGNAL
2020-04-02,SELL,HM-B.ST,94.09,248,69,48127,STOP-LOSS
2020-04-02,BUY,HM-B.ST,94.09,170,69,32062,BUY-SIGNAL
2020-04-02,BUY,NDA-SE.ST,52.17,307,69,15977,BUY-SIGNAL
2020-04-03,BUY,LIFCO-B.ST,65.40,122,69,7929,BUY-SIGNAL
2020-05-14,BUY,ABB.ST,161.02,12,69,5928,BUY-SIGNAL
2020-05-14,BUY,HEXA-B.ST,63.57,31,69,3888,BUY-SIGNAL
2020-05-14,BUY,SAND.ST,115.39,17,69,1858,BUY-SIGNAL
2020-05-18,SELL,LIFCO-B.ST,103.17,122,69,14375,SELL-SIGNAL
2020-06-01,SELL,BOL.ST,183.91,166,69,44835,SELL-SIGNAL
2020-06-02,SELL,NDA-SE.ST,64.61,307,69,64600,SELL-SIGNAL
2020-06-02,SELL,SAND.ST,134.30,17,69,66814,SELL-SIGNAL
2020-06-03,SELL,ABB.ST,188.99,12,69,69013,SELL-SIGNAL
2020-06-08,SELL,HM-B.ST,135.70,170,69,92013,SELL-SIGNAL
2020-08-07,SELL,SAAB-B.ST,67.18,566,69,129965,SELL-SIGNAL
2020-12-08,BUY,INVE-B.ST,136.41,952,90,15,BUY-SIGNAL
2020-12-21,SELL,HEXA-B.ST,101.92,31,69,3106,SELL-SIGNAL
2021-08-16,SELL,INVE-B.ST,193.59,952,127,187276,SELL-SIGNAL
2024-06-18,BUY,INVE-B.ST,279.99,668,129,117,BUY-SIGNAL
2025-02-24,SELL,INVE-B.ST,314.94,668,145,210348,SELL-SIGNAL
