date,portfolio_value,cash,positions_count
2020-01-02,100000,100000,0
2020-01-03,100000,10539,9
2020-01-07,100554,10539,9
2020-01-08,99945,10539,9
2020-01-09,101236,10539,9
2020-01-10,101931,10539,9
2020-01-13,102310,11227,9
2020-01-14,111759,11227,9
2020-01-15,112997,11227,9
2020-01-16,113747,11227,9
2020-01-17,114898,23064,8
2020-01-20,116037,12848,9
2020-01-21,124388,12848,9
2020-01-22,124737,12848,9
2020-01-23,123896,12848,9
2020-01-24,124211,12848,9
2020-01-27,121371,13240,9
2020-01-28,130963,13240,9
2020-01-29,131438,13240,9
2020-01-30,130388,13240,9
2020-01-31,131279,28543,8
2020-02-03,134112,14311,9
2020-02-04,147126,14311,9
2020-02-05,147472,14311,9
2020-02-06,147661,14311,9
2020-02-07,147212,14311,9
2020-02-10,147931,32526,8
2020-02-11,161042,32526,8
2020-02-12,161721,32526,8
2020-02-13,163082,32526,8
2020-02-14,163827,32526,8
2020-02-17,164430,83,10
2020-02-18,172435,83,10
2020-02-19,171603,83,10
2020-02-20,172635,17161,9
2020-02-21,172119,17161,9
2020-02-24,164677,19244,9
2020-02-25,184776,58126,7
2020-02-26,189931,58126,7
2020-02-27,181263,58126,7
2020-02-28,179012,164124,1
2020-03-02,182091,37116,8
2020-03-03,186955,37116,8
2020-03-04,186863,37116,8
2020-03-05,184633,37116,8
2020-03-06,179696,78033,6
2020-03-09,180632,92,10
2020-03-10,184416,35882,8
2020-03-11,183246,35882,8
2020-03-12,162314,76320,6
2020-03-13,174808,190529,0
2020-03-16,190529,38063,8
2020-03-17,188695,38063,8
2020-03-18,176859,58530,7
2020-03-19,185948,150511,2
2020-03-20,192330,150511,2
2020-03-23,192105,18995,9
2020-03-24,207768,18995,9
2020-03-25,214974,18995,9
2020-03-26,216584,18995,9
2020-03-27,210924,18995,9
2020-03-30,211998,22972,9
2020-03-31,235158,22972,9
2020-04-01,226832,22972,9
2020-04-02,225744,22972,9
2020-04-03,224573,47739,8
2020-04-06,238399,25172,9
2020-04-07,256130,25172,9
2020-04-08,258547,25172,9
2020-04-09,260070,25172,9
2020-04-14,268213,25172,9
2020-04-15,259145,31546,9
2020-04-16,281255,31546,9
2020-04-17,292725,66940,8
2020-04-20,295334,66940,8
2020-04-21,289466,66940,8
2020-04-22,291341,60791,8
2020-04-23,311397,60791,8
2020-04-24,308528,60791,8
2020-04-27,313768,60791,8
2020-04-28,313606,60791,8
2020-04-29,322490,34241,9
2020-04-30,339565,34241,9
2020-05-04,326233,34241,9
2020-05-05,333806,140657,6
2020-05-06,343609,140657,6
2020-05-07,346593,71182,8
2020-05-08,360601,71182,8
2020-05-11,361708,71182,8
2020-05-12,363806,71182,8
2020-05-13,354160,71182,8
2020-05-14,345372,73057,8
2020-05-15,365400,73057,8
2020-05-18,370373,73057,8
2020-05-19,372624,73057,8
2020-05-20,376098,115699,7
2020-05-22,382944,68,10
2020-05-25,415631,68,10
2020-05-26,423390,68,10
2020-05-27,422641,68,10
2020-05-28,429796,47436,9
2020-05-29,439011,51629,9
2020-06-01,502394,51629,9
2020-06-02,507368,51629,9
2020-06-03,523386,51629,9
2020-06-04,524189,51629,9
2020-06-05,525914,112847,8
2020-06-08,560949,112847,8
2020-06-09,564161,112847,8
2020-06-10,564159,112847,8
2020-06-11,542832,112847,8
2020-06-12,544730,117757,8
2020-06-15,592811,117757,8
2020-06-16,607259,117757,8
2020-06-17,606446,117757,8
2020-06-18,608222,117757,8
2020-06-22,605272,68883,9
