Total trades: 3708
Final portfolio value: 87804365381
Max single position value seen: 10950299274.786922
Max shares for any ticker: 402601398
Trades with shares > 1,000,000 found:
date,action,ticker,price,shares,fee,cash_after,reason
2022-04-22,BUY,RATO-B.ST,45.38087463378906,1281438,40125.41628799163,232450995.35813043,REBALANCE_IN_random
2022-04-29,SELL,RATO-B.ST,50.5,1281438,44651.707109999996,407189602.906751,REBALANCE_OUT_random
2022-05-06,BUY,BULTEN.ST,57.51251220703125,1037801,41183.71444986877,417723697.8791697,REBALANCE_IN_random
2022-05-13,SELL,BULTEN.ST,65.0,1037801,46545.37485,308520087.8190465,REBALANCE_OUT_random
2022-05-20,BUY,BULTEN.ST,58.05423355102539,1130896,45300.77734908508,328221245.74967015,REBALANCE_IN_random
2022-05-25,SELL,BULTEN.ST,60.5,1130896,47209.25352,133799019.90128446,STOP_LOSS_random
2022-05-30,BUY,RATO-B.ST,48.413482666015625,1473256,49214.563134836426,213731050.7877282,REBALANCE_IN_random
2022-06-07,SELL,RATO-B.ST,52.380001068115234,1473256,53246.71408898895,461464586.8207548,REBALANCE_OUT_random
2022-06-07,BUY,BULTEN.ST,60.0405387878418,1310757,54302.00398495525,472082816.3530916,REBALANCE_IN_random
2022-06-14,SELL,BULTEN.ST,69.19999694824219,1310757,62586.02247592209,701868365.3801209,REBALANCE_OUT_random
2022-06-14,BUY,HPOL-B.ST,79.47513580322266,1074649,58931.43389890022,426804748.40501595,REBALANCE_IN_random
2022-06-21,SELL,HPOL-B.ST,89.0,1074649,65994.19509,446148502.0574127,REBALANCE_OUT_random
2022-06-21,BUY,NIBE-B.ST,72.43071746826172,1078887,53919.74603925453,312362752.51093864,REBALANCE_IN_random
2022-06-29,SELL,NIBE-B.ST,74.22000122070312,1078887,55251.7461753305,753389915.9660466,REBALANCE_OUT_random
2022-06-29,BUY,RATO-B.ST,40.010623931884766,2092194,57759.89125531654,167016698.32195872,REBALANCE_IN_random
2022-07-06,BUY,NIBE-B.ST,82.61046600341797,1052612,60000.16981014496,260630433.8640447,REBALANCE_IN_random
2022-07-13,SELL,RATO-B.ST,48.470001220703125,2092194,69971.96555642395,305843508.3654156,REBALANCE_OUT_random
2022-07-13,SELL,NIBE-B.ST,85.05999755859375,1052612,61779.27016360107,699327437.210118,REBALANCE_OUT_random
2022-07-13,BUY,BULTEN.ST,58.1445198059082,1689770,67793.09701037635,687688356.1757032,REBALANCE_IN_random
2022-07-13,BUY,CLAS-B.ST,93.43356323242188,1051558,67793.05951103577,491051391.70129824,REBALANCE_IN_random
2022-07-13,BUY,HPOL-B.ST,81.30780029296875,1208381,67793.05270781434,392732797.6227726,REBALANCE_IN_random
2022-07-20,SELL,BULTEN.ST,68.5999984741211,1689770,79983.57140091476,594063360.609767,REBALANCE_OUT_random
2022-07-20,SELL,CLAS-B.ST,113.0,1051558,81989.97726,926662601.173942,REBALANCE_OUT_random
2022-07-20,BUY,RATO-B.ST,41.4818000793457,2482112,71044.10689339599,411495632.88007057,REBALANCE_IN_random
2022-07-27,SELL,RATO-B.ST,47.400001525878906,2482112,81179.95768530761,536998788.5167153,REBALANCE_OUT_random
2022-07-27,SELL,HPOL-B.ST,101.80000305175781,1208381,84879.10074650345,659927098.9036549,REBALANCE_OUT_random
2022-07-27,BUY,BULTEN.ST,62.478267669677734,1810777,78062.60496630626,904995902.9375665,REBALANCE_IN_random
2022-07-27,BUY,CLAS-B.ST,99.48702239990234,1137175,78062.56674135017,791783685.6732162,REBALANCE_IN_random
2022-07-27,BUY,MEKO.ST,107.50164031982422,1052395,78062.59024742317,452147002.4488399,REBALANCE_IN_random
2022-07-27,BUY,NIBE-B.ST,91.44205474853516,1237223,78062.60717848137,338934726.53951454,REBALANCE_IN_random
2022-08-03,SELL,BULTEN.ST,70.9000015258789,1810777,88585.02352348823,354017938.40997493,REBALANCE_OUT_random
2022-08-03,SELL,MEKO.ST,115.4000015258789,1052395,83798.00537802085,710018811.8216345,REBALANCE_OUT_random
2022-08-03,SELL,NIBE-B.ST,99.0,1237223,84514.70313,952850371.5492902,REBALANCE_OUT_random
2022-08-03,SELL,CLAS-B.ST,112.30000305175781,1137175,88116.28161956405,1080467011.2380533,REBALANCE_OUT_random
2022-08-03,BUY,HEXA-B.ST,117.77603149414062,1019323,82835.75424798431,599929465.9688398,REBALANCE_IN_random
2022-08-03,BUY,HPOL-B.ST,94.58345794677734,1269269,82835.7772484072,479794779.10694325,REBALANCE_IN_random
2022-08-03,BUY,SHB-B.ST,91.5108413696289,1311887,82835.79937479606,239525369.42885444,REBALANCE_IN_random
2022-08-10,SELL,HEXA-B.ST,114.0999984741211,1019323,80250.27939379921,480193934.5651023,REBALANCE_OUT_random
2022-08-10,SELL,HPOL-B.ST,100.5999984741211,1269269,88105.03702964194,607794288.9913218,REBALANCE_OUT_random
2022-08-10,SELL,SHB-B.ST,106.0,1311887,95951.41518,746758359.5761418,REBALANCE_OUT_random
2022-08-10,BUY,CLAS-B.ST,90.45071411132812,1365815,85241.8700448349,864687712.0230154,REBALANCE_IN_random
2022-08-10,BUY,MEKO.ST,106.29688262939453,1162207,85241.8969383419,741063489.0560163,REBALANCE_IN_random
2022-08-10,BUY,NEWA-B.ST,72.9248046875,1694059,85241.85597583007,617439325.4959389,REBALANCE_IN_random
2022-08-10,BUY,SINT.ST,104.3402099609375,1184001,85241.84992443238,370191062.19420254,REBALANCE_IN_random
