date,cash,portfolio_value,positions,trades
2020-01-02,65,99379,PCELL.ST:10946; RATO-B.ST:11091; NOTE.ST:11102; NIBE-B.ST:11105; NEWA-B.ST:11110; SAAB-B.ST:11106; ELAN-B.ST:11095; MEKO.ST:11069; CLAS-B.ST:10690,BUY PCELL.ST 65 @ 168.40 fee 69.00; BUY RATO-B.ST 391 @ 28.36 fee 69.00; BUY NOTE.ST 287 @ 38.68 fee 69.00; BUY NIBE-B.ST 276 @ 40.24 fee 69.00; BUY NEWA-B.ST 425 @ 26.14 fee 69.00; BUY SAAB-B.ST 147 @ 75.55 fee 69.00; BUY ELAN-B.ST 151 @ 73.48 fee 69.00; BUY MEKO.ST 130 @ 85.15 fee 69.00; BUY CLAS-B.ST 117 @ 91.37 fee 69.00
2020-01-03,65,98036,PCELL.ST:10790; RATO-B.ST:11011; NOTE.ST:10923; NIBE-B.ST:10983; NEWA-B.ST:10782; SAAB-B.ST:11117; ELAN-B.ST:10716; MEKO.ST:10970; CLAS-B.ST:10681,
2020-01-07,65,99120,PCELL.ST:11336; RATO-B.ST:11051; NOTE.ST:10758; NIBE-B.ST:11092; NEWA-B.ST:10891; SAAB-B.ST:11515; ELAN-B.ST:10842; MEKO.ST:10729; CLAS-B.ST:10841,
2020-01-08,65,98677,PCELL.ST:11115; RATO-B.ST:11031; NOTE.ST:10703; NIBE-B.ST:11145; NEWA-B.ST:10764; SAAB-B.ST:11766; ELAN-B.ST:10665; MEKO.ST:10800; CLAS-B.ST:10624,
2020-01-09,65,100232,PCELL.ST:12116; RATO-B.ST:10958; NOTE.ST:10785; NIBE-B.ST:11278; NEWA-B.ST:10836; SAAB-B.ST:11742; ELAN-B.ST:10691; MEKO.ST:11034; CLAS-B.ST:10728,
2020-01-10,663,99712,PCELL.ST:12519; RATO-B.ST:10918; NOTE.ST:10620; NIBE-B.ST:11288; NEWA-B.ST:10727; CLAS-B.ST:10775; AZN.ST:7493; EQT.ST:8220; BEIJ-B.ST:8212; INVE-B.ST:8277,SELL SAAB-B.ST 147 @ 80.06 fee 69.00; SELL ELAN-B.ST 151 @ 70.80 fee 69.00; SELL MEKO.ST 130 @ 83.25 fee 69.00; BUY AZN.ST 8 @ 936.60 fee 69.00; BUY EQT.ST 74 @ 111.08 fee 69.00; BUY BEIJ-B.ST 98 @ 83.80 fee 69.00; BUY INVE-B.ST 71 @ 116.58 fee 69.00
2020-01-13,663,99981,PCELL.ST:13098; RATO-B.ST:10965; NOTE.ST:10318; NIBE-B.ST:11437; NEWA-B.ST:10600; CLAS-B.ST:10641; AZN.ST:7434; EQT.ST:8293; BEIJ-B.ST:8247; INVE-B.ST:8287,
2020-01-14,663,99959,PCELL.ST:12883; RATO-B.ST:10885; NOTE.ST:10042; NIBE-B.ST:11609; NEWA-B.ST:10800; CLAS-B.ST:10661; AZN.ST:7497; EQT.ST:8310; BEIJ-B.ST:8293; INVE-B.ST:8315,
2020-01-15,663,100788,PCELL.ST:13260; RATO-B.ST:10878; NOTE.ST:10111; NIBE-B.ST:11646; NEWA-B.ST:10964; CLAS-B.ST:10564; AZN.ST:7616; EQT.ST:8439; BEIJ-B.ST:8322; INVE-B.ST:8325,
2020-01-16,663,102525,PCELL.ST:14105; RATO-B.ST:10965; NOTE.ST:10359; NIBE-B.ST:11719; NEWA-B.ST:11201; CLAS-B.ST:10467; AZN.ST:7559; EQT.ST:8617; BEIJ-B.ST:8391; INVE-B.ST:8481,
2020-01-17,13,103677,PCELL.ST:13748; RATO-B.ST:10998; NOTE.ST:11652; NIBE-B.ST:11779; NEWA-B.ST:11019; CLAS-B.ST:10467; EQT.ST:8683; BEIJ-B.ST:8500; INVE-B.ST:8567; SHB-B.ST:8253,SELL AZN.ST 8 @ 967.75 fee 69.00; BUY SHB-B.ST 105 @ 78.60 fee 69.00
2020-01-20,13,104332,PCELL.ST:13715; RATO-B.ST:10951; NOTE.ST:12381; NIBE-B.ST:11742; NEWA-B.ST:11000; CLAS-B.ST:10467; EQT.ST:8791; BEIJ-B.ST:8477; INVE-B.ST:8541; SHB-B.ST:8253,
2020-01-21,13,102821,PCELL.ST:12688; RATO-B.ST:10965; NOTE.ST:12120; NIBE-B.ST:11672; NEWA-B.ST:10909; CLAS-B.ST:10409; EQT.ST:8825; BEIJ-B.ST:8402; INVE-B.ST:8548; SHB-B.ST:8269,
2020-01-22,13,102861,PCELL.ST:12675; RATO-B.ST:11130; NOTE.ST:11968; NIBE-B.ST:11593; NEWA-B.ST:10745; CLAS-B.ST:10515; EQT.ST:8985; BEIJ-B.ST:8460; INVE-B.ST:8538; SHB-B.ST:8237,
2020-01-23,13,99590,PCELL.ST:11050; RATO-B.ST:10938; NOTE.ST:12133; NIBE-B.ST:11248; NEWA-B.ST:10836; CLAS-B.ST:10292; EQT.ST:8651; BEIJ-B.ST:7868; INVE-B.ST:8452; SHB-B.ST:8107,
2020-01-24,15,100066,PCELL.ST:11778; RATO-B.ST:11111; NOTE.ST:12078; NIBE-B.ST:11351; NEWA-B.ST:10946; EQT.ST:8491; SHB-B.ST:8156; BULTEN.ST:8755; ELAN-B.ST:8749; SAAB-B.ST:8637,SELL CLAS-B.ST 117 @ 87.06 fee 69.00; SELL BEIJ-B.ST 98 @ 79.40 fee 69.00; SELL INVE-B.ST 71 @ 120.97 fee 69.00; BUY BULTEN.ST 142 @ 61.66 fee 69.00; BUY ELAN-B.ST 121 @ 72.30 fee 69.00; BUY SAAB-B.ST 111 @ 77.81 fee 69.00
2020-01-27,15,98171,PCELL.ST:11401; RATO-B.ST:10898; NOTE.ST:11693; NIBE-B.ST:11128; NEWA-B.ST:10673; EQT.ST:8488; SHB-B.ST:7985; BULTEN.ST:8719; ELAN-B.ST:8729; SAAB-B.ST:8442,
2020-01-28,15,99226,PCELL.ST:11700; RATO-B.ST:10998; NOTE.ST:11789; NIBE-B.ST:11165; NEWA-B.ST:10709; EQT.ST:8575; SHB-B.ST:8237; BULTEN.ST:8755; ELAN-B.ST:8870; SAAB-B.ST:8413,
2020-01-29,15,100313,PCELL.ST:12506; RATO-B.ST:11190; NOTE.ST:11858; NIBE-B.ST:11311; NEWA-B.ST:10618; EQT.ST:8683; SHB-B.ST:8204; BULTEN.ST:8768; ELAN-B.ST:8789; SAAB-B.ST:8371,
2020-01-30,15,99475,PCELL.ST:12675; RATO-B.ST:11064; NOTE.ST:11569; NIBE-B.ST:11168; NEWA-B.ST:10545; EQT.ST:8470; SHB-B.ST:8139; BULTEN.ST:8707; ELAN-B.ST:8830; SAAB-B.ST:8292,
2020-01-31,16,98951,PCELL.ST:12597; RATO-B.ST:11243; NOTE.ST:11253; NIBE-B.ST:11085; NEWA-B.ST:10545; EQT.ST:8512; BULTEN.ST:8719; HPOL-B.ST:8380; HEXA-B.ST:8352; BEIJ-B.ST:8248,SELL SHB-B.ST 105 @ 77.83 fee 69.00; SELL ELAN-B.ST 121 @ 74.15 fee 69.00; SELL SAAB-B.ST 111 @ 74.34 fee 69.00; BUY HPOL-B.ST 117 @ 71.62 fee 69.00; BUY HEXA-B.ST 112 @ 74.57 fee 69.00; BUY BEIJ-B.ST 97 @ 85.03 fee 69.00
2020-02-03,16,99732,PCELL.ST:13000; RATO-B.ST:11601; NOTE.ST:11652; NIBE-B.ST:11128; NEWA-B.ST:10563; EQT.ST:8617; BULTEN.ST:8646; HPOL-B.ST:8130; HEXA-B.ST:8359; BEIJ-B.ST:8021,
2020-02-04,16,102748,PCELL.ST:13682; RATO-B.ST:11860; NOTE.ST:12574; NIBE-B.ST:11344; NEWA-B.ST:10545; EQT.ST:8874; BULTEN.ST:8719; HPOL-B.ST:8342; HEXA-B.ST:8686; BEIJ-B.ST:8106,
2020-02-05,16,104631,PCELL.ST:13780; RATO-B.ST:11907; NOTE.ST:13000; NIBE-B.ST:11414; NEWA-B.ST:10818; EQT.ST:8997; BULTEN.ST:8768; HPOL-B.ST:8361; HEXA-B.ST:9119; BEIJ-B.ST:8453,
2020-02-06,16,104095,PCELL.ST:14040; RATO-B.ST:10766; NOTE.ST:12780; NIBE-B.ST:11291; NEWA-B.ST:11383; EQT.ST:9034; BULTEN.ST:9120; HPOL-B.ST:8207; HEXA-B.ST:8937; BEIJ-B.ST:8521,
2020-02-07,47,103116,PCELL.ST:13780; RATO-B.ST:10759; NIBE-B.ST:11178; NEWA-B.ST:11419; EQT.ST:9149; BULTEN.ST:9217; BEIJ-B.ST:8259; SAAB-B.ST:9850; ELAN-B.ST:9779; INVE-B.ST:9677,SELL NOTE.ST 287 @ 44.67 fee 69.00; SELL HPOL-B.ST 117 @ 69.32 fee 69.00; SELL HEXA-B.ST 112 @ 78.75 fee 69.00; BUY SAAB-B.ST 130 @ 75.77 fee 69.00; BUY ELAN-B.ST 131 @ 74.65 fee 69.00; BUY INVE-B.ST 78 @ 124.07 fee 69.00
2020-02-10,47,105047,PCELL.ST:14918; RATO-B.ST:11044; NIBE-B.ST:11391; NEWA-B.ST:11747; EQT.ST:9111; BULTEN.ST:9303; BEIJ-B.ST:8316; SAAB-B.ST:9566; ELAN-B.ST:9889; INVE-B.ST:9716,
2020-02-11,47,106875,PCELL.ST:16055; RATO-B.ST:11383; NIBE-B.ST:11523; NEWA-B.ST:11583; EQT.ST:9142; BULTEN.ST:9363; BEIJ-B.ST:8487; SAAB-B.ST:9677; ELAN-B.ST:9801; INVE-B.ST:9814,
2020-02-12,47,107102,PCELL.ST:15925; RATO-B.ST:11562; NIBE-B.ST:11391; NEWA-B.ST:11456; EQT.ST:9577; BULTEN.ST:9400; BEIJ-B.ST:8442; SAAB-B.ST:9640; ELAN-B.ST:9889; INVE-B.ST:9775,
2020-02-13,47,107907,PCELL.ST:15795; RATO-B.ST:11654; NIBE-B.ST:11984; NEWA-B.ST:11365; EQT.ST:10155; BULTEN.ST:9448; BEIJ-B.ST:8413; SAAB-B.ST:9529; ELAN-B.ST:9713; INVE-B.ST:9803,
2020-02-14,70,108919,PCELL.ST:16575; RATO-B.ST:11601; NIBE-B.ST:11905; NEWA-B.ST:11274; EQT.ST:10294; BULTEN.ST:9534; BEIJ-B.ST:8521; ELAN-B.ST:9889; INVE-B.ST:9849; MEKO.ST:9408,SELL SAAB-B.ST 130 @ 73.61 fee 69.00; BUY MEKO.ST 117 @ 80.41 fee 69.00
2020-02-17,70,111624,PCELL.ST:18785; RATO-B.ST:11767; NIBE-B.ST:11931; NEWA-B.ST:11237; EQT.ST:10680; BULTEN.ST:9704; BEIJ-B.ST:8487; ELAN-B.ST:9735; INVE-B.ST:9866; MEKO.ST:9361,
2020-02-18,70,112363,PCELL.ST:20150; RATO-B.ST:11363; NIBE-B.ST:11855; NEWA-B.ST:11073; EQT.ST:11028; BULTEN.ST:9667; BEIJ-B.ST:8413; ELAN-B.ST:9669; INVE-B.ST:9814; MEKO.ST:9261,
2020-02-19,70,113526,PCELL.ST:20898; RATO-B.ST:11469; NIBE-B.ST:11908; NEWA-B.ST:11091; EQT.ST:11230; BULTEN.ST:9315; BEIJ-B.ST:8618; ELAN-B.ST:9757; INVE-B.ST:9884; MEKO.ST:9287,
2020-02-20,70,112175,PCELL.ST:18850; RATO-B.ST:11528; NIBE-B.ST:11954; NEWA-B.ST:11037; EQT.ST:11070; BULTEN.ST:9813; BEIJ-B.ST:8720; ELAN-B.ST:9910; INVE-B.ST:9856; MEKO.ST:9366,
2020-02-21,6,111064,RATO-B.ST:11416; NIBE-B.ST:11875; NEWA-B.ST:10818; EQT.ST:11032; BULTEN.ST:9570; BEIJ-B.ST:8709; ELAN-B.ST:9801; INVE-B.ST:9779; HPOL-B.ST:28059,SELL PCELL.ST 65 @ 291.00 fee 69.00; SELL MEKO.ST 117 @ 79.38 fee 69.00; BUY HPOL-B.ST 420 @ 66.81 fee 69.00
2020-02-24,6,105989,RATO-B.ST:10945; NIBE-B.ST:11427; NEWA-B.ST:10363; EQT.ST:10649; BULTEN.ST:8889; BEIJ-B.ST:8123; ELAN-B.ST:9318; INVE-B.ST:9282; HPOL-B.ST:26986,
2020-02-25,6,104112,RATO-B.ST:10726; NIBE-B.ST:11162; NEWA-B.ST:10163; EQT.ST:10517; BULTEN.ST:8682; BEIJ-B.ST:7895; ELAN-B.ST:9253; INVE-B.ST:9051; HPOL-B.ST:26657,
