date,portfolio_value,cash,positions_count
2020-01-02,100000,100000,0
2020-01-03,99724,26,4
2020-01-07,100796,26,4
2020-01-08,101718,26,4
2020-01-09,102699,26,4
2020-01-10,103091,26,4
2020-01-13,103341,26,4
2020-01-14,103693,26,4
2020-01-15,103023,26,4
2020-01-16,103875,26,4
2020-01-17,104511,26,4
2020-01-20,104674,26,4
2020-01-21,104308,26,4
2020-01-22,103406,26,4
2020-01-23,101265,26,4
2020-01-24,102301,26,4
2020-01-27,99954,26,4
2020-01-28,100777,26,4
2020-01-29,101874,26,4
2020-01-30,99845,26,4
2020-01-31,99378,26,4
2020-02-03,99713,41,10
2020-02-04,101824,41,10
2020-02-05,102655,41,10
2020-02-06,102698,41,10
2020-02-07,101763,41,10
2020-02-10,102683,41,10
2020-02-11,104207,41,10
2020-02-12,104202,41,10
2020-02-13,105649,41,10
2020-02-14,106557,41,10
2020-02-17,107182,41,10
2020-02-18,107109,41,10
2020-02-19,108415,41,10
2020-02-20,108646,41,10
2020-02-21,107369,41,10
2020-02-24,103099,41,10
2020-02-25,101354,41,10
2020-02-26,101178,41,10
2020-02-27,97278,41,10
2020-02-28,95213,27164,8
2020-03-02,107019,76,4
2020-03-03,107607,76,4
2020-03-04,107784,76,4
2020-03-05,105710,76,4
2020-03-06,101944,76,4
2020-03-09,100072,8,3
2020-03-10,104035,50149,2
2020-03-11,102971,50149,2
2020-03-12,96183,50149,2
2020-03-13,115461,115461,0
2020-03-16,115254,133,3
2020-03-17,118090,133,3
2020-03-18,106927,133,3
2020-03-19,110674,67673,1
2020-03-20,111189,67673,1
2020-03-23,109673,13,3
2020-03-24,118780,13,3
2020-03-25,123241,13,3
2020-03-26,128217,13,3
2020-03-27,125016,13,3
2020-03-30,126444,13,3
2020-03-31,130309,13,3
2020-04-01,126107,13,3
2020-04-02,124518,13,3
2020-04-03,127896,13,3
2020-04-06,137972,94,3
2020-04-07,143314,94,3
2020-04-08,148352,94,3
2020-04-09,147620,94,3
2020-04-14,151734,94,3
2020-04-15,167406,28,3
2020-04-16,164873,28,3
2020-04-17,172410,28,3
2020-04-20,174000,28,3
2020-04-21,169035,28,3
2020-04-22,192815,19,3
2020-04-23,195622,19,3
2020-04-24,195416,19,3
2020-04-27,196535,19,3
2020-04-28,198826,19,3
2020-04-29,210386,35,3
2020-04-30,204980,35,3
2020-05-04,193811,35,3
2020-05-05,217458,156115,1
2020-05-06,216939,156115,1
2020-05-07,216830,10,3
2020-05-08,220735,10,3
2020-05-11,217118,10,3
2020-05-12,217258,10,3
2020-05-13,207247,10,3
2020-05-14,220082,14,3
2020-05-15,223813,14,3
2020-05-18,238497,14,3
2020-05-19,238765,14,3
2020-05-20,235787,14,3
2020-05-22,250932,24,3
2020-05-25,254337,24,3
2020-05-26,264668,24,3
2020-05-27,278716,24,3
2020-05-28,284086,24,3
2020-05-29,319581,21,3
2020-06-01,325695,21,3
2020-06-02,331347,21,3
2020-06-03,339298,21,3
2020-06-04,337416,21,3
2020-06-05,401174,60,3
2020-06-08,393625,60,3
2020-06-09,381529,60,3
2020-06-10,388763,135327,2
2020-06-11,381396,135327,2
2020-06-12,380585,4,3
2020-06-15,387405,4,3
2020-06-16,402389,4,3
2020-06-17,403693,4,3
2020-06-18,405398,4,3
2020-06-22,406844,4,3
2020-06-23,408690,4,3
2020-06-24,401458,4,3
2020-06-25,407826,4,3
2020-06-26,407928,4,3
2020-06-29,454365,35,4
2020-06-30,462464,35,4
2020-07-01,461712,35,4
2020-07-02,475558,35,4
2020-07-03,474838,35,4
2020-07-06,507144,14,3
2020-07-07,507317,14,3
2020-07-08,503469,14,3
2020-07-09,501647,14,3
2020-07-10,502392,14,3
2020-07-13,582439,55,3
2020-07-14,575511,55,3
2020-07-15,592470,55,3
2020-07-16,586898,55,3
2020-07-17,612534,55,3
2020-07-20,640466,9,3
2020-07-21,638093,9,3
2020-07-22,652160,9,3
2020-07-23,652695,9,3
2020-07-24,624462,9,3
2020-07-27,687346,26,3
2020-07-28,689110,26,3
2020-07-29,689104,26,3
2020-07-30,665065,26,3
2020-07-31,668544,26,3
2020-08-03,689399,22,3
2020-08-04,688661,22,3
2020-08-05,688853,22,3
2020-08-06,689067,22,3
2020-08-07,691864,22,3
2020-08-10,804123,14,3
2020-08-11,815300,14,3
2020-08-12,819801,14,3
2020-08-13,829143,14,3
2020-08-14,808133,14,3
2020-08-17,826529,13,3
2020-08-18,818092,13,3
2020-08-19,854174,13,3
2020-08-20,839892,13,3
2020-08-21,836686,13,3
2020-08-24,850276,13,3
2020-08-25,848366,13,3
2020-08-26,851520,13,3
2020-08-27,843589,13,3
2020-08-28,835731,13,3
2020-08-31,904650,55,6
2020-09-01,904289,55,6
2020-09-02,907000,55,6
2020-09-03,889515,55,6
2020-09-04,882094,55,6
2020-09-07,913291,25,4
2020-09-08,905508,25,4
2020-09-09,913904,25,4
2020-09-10,920341,25,4
2020-09-11,919637,25,4
2020-09-14,1035925,32,5
2020-09-15,1037314,32,5
2020-09-16,1051710,32,5
2020-09-17,1048172,32,5
2020-09-18,1041554,32,5
2020-09-21,1044697,53,3
2020-09-22,1054448,53,3
2020-09-23,1057946,53,3
2020-09-24,1052733,53,3
2020-09-25,1050025,53,3
2020-09-28,1075969,53,3
2020-09-29,1069732,53,3
2020-09-30,1072816,53,3
2020-10-01,1077188,53,3
2020-10-02,1071796,53,3
2020-10-05,1092766,57,3
2020-10-06,1110392,57,3
2020-10-07,1097782,57,3
2020-10-08,1103604,57,3
2020-10-09,1096410,57,3
2020-10-12,1115473,57,3
2020-10-13,1106060,57,3
2020-10-14,1126045,57,3
2020-10-15,1123248,57,3
2020-10-16,1132033,57,3
2020-10-19,1219975,11,3
2020-10-20,1211097,11,3
2020-10-21,1179908,11,3
2020-10-22,1189418,288772,2
2020-10-23,1193982,288772,2
2020-10-26,1173123,9,3
2020-10-27,1159006,9,3
2020-10-28,1129048,9,3
2020-10-29,1195753,292411,2
2020-10-30,1198478,292411,2
2020-11-02,1396442,17,3
2020-11-03,1410354,17,3
2020-11-04,1430323,17,3
2020-11-05,1446646,17,3
2020-11-06,1437491,17,3
2020-11-09,1696778,25,3
2020-11-10,1742423,25,3
2020-11-11,1735325,25,3
2020-11-12,1720798,25,3
2020-11-13,1729809,25,3
2020-11-16,1924439,29,4
2020-11-17,1929054,29,4
2020-11-18,1938254,29,4
2020-11-19,1928202,29,4
2020-11-20,1937821,29,4
2020-11-23,1982070,58,4
2020-11-24,2001579,58,4
2020-11-25,2011307,58,4
2020-11-26,2008778,58,4
2020-11-27,2009910,58,4
2020-11-30,2145907,1,3
2020-12-01,2150070,1,3
2020-12-02,2161237,1,3
2020-12-03,2176475,1,3
2020-12-04,2188483,1,3
2020-12-07,2213036,67,4
2020-12-08,2249137,67,4
2020-12-09,2260365,67,4
2020-12-10,2261618,67,4
2020-12-11,2240090,67,4
