ticker,predicted_score
NIBE-B.ST,-0.0009160026
TELIA.ST,-0.0013624469
ESSITY-B.ST,-0.002049996
LIFCO-B.ST,-0.002049996
EQT.ST,-0.0023958413
ADDT-B.ST,-0.0023958413
INDU-C.ST,-0.0023958413
SKF-B.ST,-0.0023958413
ASSA-B.ST,-0.0027795304
VOLV-B.ST,-0.0031838913
INVE-B.ST,-0.0036264088
SCA-B.ST,-0.0036264088
ALFA.ST,-0.0036264088
EPI-A.ST,-0.0036264088
ATCO-A.ST,-0.004414459
SAND.ST,-0.0047213617
ABB.ST,-0.0047213617
SWED-A.ST,-0.0047213617
EVO.ST,-0.0048116464
AZN.ST,-0.0048116464
SKA-B.ST,-0.004920755
NDA-SE.ST,-0.004920755
SEB-A.ST,-0.004920755
SHB-A.ST,-0.004920755
HEXA-B.ST,-0.0051150923
SAAB-B.ST,-0.005339133
ERIC-B.ST,-0.0055381954
HM-B.ST,-0.0057975263
BOL.ST,-0.005951931
TEL2-B.ST,-0.008876028
