date,action,ticker,price,shares,fee,cash_after,reason
2020-01-03,BUY,NEWA-B.ST,25.36898422241211,788,69.0,79940.24043273926,REBALANCE_IN
2020-01-03,BUY,NIBE-B.ST,39.79174041748047,502,69.0,59895.78674316406,REBALANCE_IN
2020-01-03,BUY,NOTE.ST,38.058536529541016,525,69.0,39846.05506515503,REBALANCE_IN
2020-01-03,BUY,PCELL.ST,166.0,120,69.0,19857.05506515503,REBALANCE_IN
2020-01-03,BUY,RATO-B.ST,28.16126823425293,702,69.0,18.844764709472656,REBALANCE_IN
2020-01-13,SELL,NOTE.ST,38.599998474121094,525,69.0,20214.843963623047,REBALANCE_OUT
2020-01-20,BUY,NOTE.ST,43.13939666748047,466,69.0,42.88511657714844,REBALANCE_IN
2020-01-28,SELL,NOTE.ST,42.75,466,69.0,19895.38511657715,STOP_LOSS
2020-02-03,BUY,NOTE.ST,40.59896469116211,488,69.0,14.090347290039062,REBALANCE_IN
2020-02-10,SELL,NOTE.ST,46.95000076293945,488,69.0,22856.690719604492,REBALANCE_OUT
2020-02-24,SELL,PCELL.ST,257.0,120,69.0,53627.69071960449,REBALANCE_OUT
2020-02-24,BUY,BEIJ-B.ST,83.7420425415039,71,69.0,47613.005699157715,REBALANCE_IN
2020-02-24,BUY,BULTEN.ST,62.59943389892578,95,69.0,41597.059478759766,REBALANCE_IN
2020-02-24,BUY,ELAN-B.ST,71.13330078125,83,69.0,35623.995513916016,REBALANCE_IN
2020-02-24,BUY,EQT.ST,143.9036865234375,41,69.0,29654.944366455078,REBALANCE_IN
2020-02-24,BUY,HEXA-B.ST,77.3843002319336,77,69.0,23627.35324859619,REBALANCE_IN
2020-02-24,BUY,HPOL-B.ST,64.25240325927734,92,69.0,17647.132148742676,REBALANCE_IN
2020-02-24,BUY,MEKO.ST,74.91136932373047,79,69.0,11660.133972167969,REBALANCE_IN
2020-02-26,SELL,NEWA-B.ST,27.549999237060547,788,69.0,33300.53337097168,STOP_LOSS
2020-02-28,SELL,RATO-B.ST,28.780000686645508,702,69.0,53435.093852996826,STOP_LOSS
2020-02-28,SELL,BEIJ-B.ST,76.48834991455078,71,69.0,58796.76669692993,STOP_LOSS
2020-02-28,SELL,BULTEN.ST,65.0,95,69.0,64902.76669692993,STOP_LOSS
2020-02-28,SELL,HPOL-B.ST,71.69999694824219,92,69.0,71430.16641616821,STOP_LOSS
2020-02-28,SELL,MEKO.ST,74.4000015258789,79,69.0,77238.76653671265,STOP_LOSS
2020-03-02,SELL,NIBE-B.ST,39.412498474121094,502,69.0,96954.84077072144,STOP_LOSS
2020-03-02,SELL,ELAN-B.ST,78.5999984741211,83,69.0,103409.64064407349,STOP_LOSS
2020-03-02,SELL,EQT.ST,141.0,41,69.0,109121.64064407349,STOP_LOSS
2020-03-02,SELL,HEXA-B.ST,74.57142639160156,77,69.0,114794.6404762268,STOP_LOSS
2020-03-02,BUY,AZN.ST,848.447998046875,45,69.0,76545.48056411743,REBALANCE_IN
2020-03-02,BUY,EMBRAC-B.ST,281.5199890136719,135,69.0,38471.28204727173,REBALANCE_IN
2020-03-02,BUY,SWED-A.ST,102.91597747802734,371,69.0,220.45440292358398,REBALANCE_IN
