date,portfolio_value
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-20,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,99793.0
2020-01-28,101612.3265991211
2020-01-29,101575.80107116699
2020-01-30,106092.95309448242
2020-01-31,108333.771484375
2020-02-03,108105.27178955078
2020-02-04,109386.30599975586
2020-02-05,111459.09783935547
2020-02-06,113508.09574890137
2020-02-07,112771.10697937012
2020-02-10,113724.79057312012
2020-02-11,114897.51821899414
2020-02-12,114942.80096435547
2020-02-13,114149.94337463379
2020-02-14,115019.30665588379
2020-02-17,114858.81622314453
2020-02-18,114335.2868347168
2020-02-19,116315.59651184082
2020-02-20,116690.43533325195
2020-02-21,115922.48115539551
2020-02-24,112833.17558288574
2020-02-25,112011.5205078125
2020-02-26,112011.5205078125
2020-02-27,112011.5205078125
2020-02-28,112011.5205078125
2020-03-02,112011.5205078125
2020-03-03,112011.5205078125
2020-03-04,112011.5205078125
2020-03-05,112011.5205078125
2020-03-06,112011.5205078125
2020-03-09,112011.5205078125
2020-03-10,112011.5205078125
2020-03-11,112011.5205078125
2020-03-12,112011.5205078125
2020-03-13,111735.5205078125
2020-03-16,109893.37669372559
2020-03-17,116512.41912269592
2020-03-18,112245.81733322144
2020-03-19,117882.04665756226
2020-03-20,116747.3826675415
2020-03-23,111026.65466690063
2020-03-24,114467.55107116699
2020-03-25,116481.16968154907
2020-03-26,118022.84254837036
2020-03-27,115722.15326309204
2020-03-30,119865.83116912842
2020-03-31,121239.67196655273
2020-04-01,118768.84329223633
2020-04-02,119174.62110900879
2020-04-03,117994.3127708435
2020-04-06,119180.86407470703
2020-04-07,120297.73303985596
2020-04-08,119549.26090240479
2020-04-09,119774.58145523071
2020-04-14,125428.15364074707
2020-04-15,124055.0888671875
2020-04-16,124999.41776657104
2020-04-17,126691.52889633179
2020-04-20,127845.56796264648
2020-04-21,126036.09647369385
2020-04-22,126758.08383178711
2020-04-23,126037.39780044556
2020-04-24,125898.5923538208
2020-04-27,127401.83206176758
2020-04-28,127741.47412872314
2020-04-29,129101.93488311768
2020-04-30,129483.0005569458
2020-05-04,125482.68663787842
2020-05-05,127046.78181838989
2020-05-06,126629.80191040039
2020-05-07,126450.4493522644
2020-05-08,127936.51829528809
2020-05-11,128644.23970794678
2020-05-12,129325.97624588013
2020-05-13,127738.57818984985
2020-05-14,124066.05107879639
2020-05-15,124441.58644485474
2020-05-18,128182.24227142334
2020-05-19,126484.39706420898
2020-05-20,126338.17610931396
2020-05-22,126838.38724517822
2020-05-25,128578.08669281006
2020-05-26,127853.7943687439
2020-05-27,126192.50081634521
2020-05-28,129074.91970825195
2020-05-29,128166.23084640503
2020-06-01,128681.6759262085
2020-06-02,128091.99197769165
2020-06-03,129607.80646896362
2020-06-04,128391.80959320068
2020-06-05,128126.63933181763
2020-06-08,127436.99105453491
2020-06-09,126178.12023544312
2020-06-10,127316.53255844116
2020-06-11,122734.35206222534
2020-06-12,122650.53489685059
2020-06-15,124398.60440063477
2020-06-16,128536.91649246216
2020-06-17,128763.18062210083
2020-06-18,128097.94488143921
2020-06-22,127907.24293518066
2020-06-23,129179.49530410767
2020-06-24,126721.90727996826
2020-06-25,128508.84122467041
2020-06-26,128440.88417816162
2020-06-29,129065.42789459229
2020-06-30,128500.53759765625
2020-07-01,129309.39890289307
2020-07-02,130958.54848861694
2020-07-03,129819.38491821289
2020-07-06,131845.94193649292
2020-07-07,130800.62292861938
2020-07-08,130194.38352966309
2020-07-09,129145.86529159546
2020-07-10,129394.53065872192
2020-07-13,130542.77708816528
2020-07-14,129750.66621780396
2020-07-15,132569.52701187134
2020-07-16,131728.12560653687
2020-07-17,133777.41709518433
2020-07-20,135001.41598892212
2020-07-21,133274.079082489
2020-07-22,132234.03853225708
2020-07-23,132041.35301589966
2020-07-24,130343.92513656616
2020-07-27,130096.2957649231
2020-07-28,130502.97458267212
2020-07-29,130945.4405784607
2020-07-30,129572.47068786621
2020-07-31,128407.45386123657
2020-08-03,130356.35552597046
2020-08-04,129701.39507675171
2020-08-05,129412.0948753357
2020-08-06,128570.15998458862
2020-08-07,128789.15285110474
2020-08-10,128750.97604751587
2020-08-11,129900.46957015991
2020-08-12,131479.5862083435
2020-08-13,130785.17666244507
2020-08-14,128819.02433395386
2020-08-17,130147.33762741089
2020-08-18,129468.60955429077
2020-08-19,130921.84679794312
2020-08-20,129898.44161987305
2020-08-21,129378.26205062866
2020-08-24,131581.03034591675
2020-08-25,131555.6514930725
2020-08-26,131775.72091293335
2020-08-27,131007.33228683472
2020-08-28,129263.66651535034
2020-08-31,128685.3498954773
2020-09-01,128477.36407089233
2020-09-02,129766.02025985718
2020-09-03,128734.28276824951
2020-09-04,127635.70930480957
2020-09-07,130492.32418060303
2020-09-08,129510.10129928589
2020-09-09,131012.1240196228
2020-09-10,129871.27587890625
2020-09-11,130173.03385543823
2020-09-14,129911.89946365356
2020-09-15,131238.4884147644
2020-09-16,132090.39210510254
2020-09-17,133092.83689117432
2020-09-18,132743.89878082275
2020-09-21,129991.05530548096
2020-09-22,131271.77946090698
2020-09-23,133199.93103027344
2020-09-24,131857.1109046936
2020-09-25,131937.33420181274
2020-09-28,134079.30617523193
2020-09-29,133957.7713470459
2020-09-30,133772.82996749878
2020-10-01,133005.66291809082
2020-10-02,132024.104473114
2020-10-05,133397.93156051636
2020-10-06,134046.06074523926
2020-10-07,132890.7822189331
2020-10-08,133741.85428237915
2020-10-09,133848.5269126892
2020-10-12,135498.05862426758
2020-10-13,134609.62475967407
2020-10-14,134207.53567123413
2020-10-15,132526.95191192627
2020-10-16,133746.3119544983
2020-10-19,133245.68745803833
2020-10-20,132393.6033859253
2020-10-21,130635.96675872803
2020-10-22,128130.41580963135
2020-10-23,128000.9529876709
2020-10-26,126518.71841049194
2020-10-27,126306.50071334839
2020-10-28,124013.7776260376
2020-10-29,123878.36410140991
2020-10-30,123413.76974105835
2020-11-02,124580.56115722656
2020-11-03,125416.29863357544
2020-11-04,129127.1636352539
2020-11-05,129823.03088760376
2020-11-06,128920.88506698608
2020-11-09,130547.73536300659
2020-11-10,131526.09260940552
2020-11-11,134241.36627578735
2020-11-12,133130.34735488892
2020-11-13,133059.0437889099
2020-11-16,132818.47244644165
2020-11-17,131890.7711982727
2020-11-18,131604.9335746765
2020-11-19,131039.09421920776
2020-11-20,132852.70447921753
2020-11-23,131017.14669418335
2020-11-24,130490.35799789429
2020-11-25,130441.63312911987
2020-11-26,130695.92461013794
2020-11-27,130932.70115280151
2020-11-30,130872.15230941772
2020-12-01,130032.79583358765
2020-12-02,130226.96529006958
2020-12-03,128781.44756698608
2020-12-04,128791.13154220581
2020-12-07,128162.54794692993
2020-12-08,130379.18532180786
2020-12-09,129970.57722091675
2020-12-10,130268.61865615845
2020-12-11,129450.82844161987
2020-12-14,127884.66296768188
2020-12-15,126377.72699356079
2020-12-16,127395.98882675171
2020-12-17,126202.61038208008
2020-12-18,126202.24744796753
2020-12-21,123847.64278793335
2020-12-22,124290.55192947388
2020-12-23,124520.29681777954
2020-12-28,125780.01028060913
2020-12-29,126586.97396087646
2020-12-30,125836.22967147827
2021-01-04,126897.20306396484
2021-01-05,126324.53078842163
2021-01-07,127718.47898483276
2021-01-08,127659.71104812622
2021-01-11,127589.3621635437
2021-01-12,127486.88943862915
2021-01-13,128653.8328742981
2021-01-14,129927.22625350952
2021-01-15,129308.93622207642
2021-01-18,129866.79466629028
2021-01-19,130206.44550704956
2021-01-20,131935.36540603638
2021-01-21,131245.01290512085
2021-01-22,131414.07346725464
2021-01-25,132689.5404777527
2021-01-26,133931.88723373413
2021-01-27,134512.3412361145
2021-01-28,133656.19119644165
2021-01-29,131336.5168876648
