ticker,recommendation,predicted_return_[%]
NIBE-B.ST,Neutral,0.9435035
TELIA.ST,Neutral,0.0056913453
ASSA-B.ST,Neutral,-0.0374547
ATCO-A.ST,Neutral,-0.10879214
ADDT-B.ST,Neutral,-0.23597318
ABB.ST,Neutral,-0.23888855
LIFCO-B.ST,Neutral,-0.2635755
INDU-C.ST,Neutral,-0.28157544
SKF-B.ST,Neutral,-0.28362307
EQT.ST,Neutral,-0.3119426
ALFA.ST,Neutral,-0.37074617
EPI-A.ST,Neutral,-0.43484363
VOLV-B.ST,Neutral,-0.49939278
SAND.ST,Neutral,-0.54392886
EVO.ST,Neutral,-0.5554333
INVE-B.ST,Neutral,-0.5693684
ESSITY-B.ST,Neutral,-0.6135145
AZN.ST,Neutral,-0.729133
SAAB-B.ST,Neutral,-0.7372401
ERIC-B.ST,Neutral,-0.7478318
SWED-A.ST,Neutral,-0.76756537
SHB-A.ST,Neutral,-0.783589
HM-B.ST,Neutral,-0.8328787
BOL.ST,Neutral,-0.83982384
SCA-B.ST,Neutral,-0.8441211
SKA-B.ST,Neutral,-0.85616934
SEB-A.ST,Neutral,-0.8727963
NDA-SE.ST,Neutral,-0.936066
HEXA-B.ST,Neutral,-1.1909992
TEL2-B.ST,Sälj,-2.5372083
