date,action,ticker,price,shares,fee,cash_after,reason
2020-01-27,BUY,HM-B.ST,150.91,220,69,66732,BUY-SIGNAL
2020-01-27,BUY,SCA-B.ST,82.73,402,69,33404,BUY-SIGNAL
2020-01-27,BUY,SHB-A.ST,67.73,492,69,14,BUY-SIGNAL
2020-02-17,SELL,HM-B.ST,167.17,220,69,36723,SELL-SIGNAL
2020-02-24,SELL,SHB-A.ST,77.70,492,69,74882,SELL-SIGNAL
2020-02-25,SELL,SCA-B.ST,92.53,402,69,112012,SELL-SIGNAL
2020-03-13,BUY,AZN.ST,753.77,37,69,84053,BUY-SIGNAL
2020-03-13,BUY,ESSITY-B.ST,232.22,120,69,56118,BUY-SIGNAL
2020-03-13,BUY,NIBE-B.ST,30.19,927,69,28063,BUY-SIGNAL
2020-03-13,BUY,TELIA.ST,22.65,1236,69,2,BUY-SIGNAL
2020-03-18,SELL,NIBE-B.ST,28.45,927,69,26303,STOP-LOSS
2020-03-18,BUY,ALFA.ST,153.50,8,69,25006,BUY-SIGNAL
2020-03-18,BUY,ASSA-B.ST,161.21,7,69,23809,BUY-SIGNAL
2020-03-18,BUY,ATCO-A.ST,66.47,18,69,22543,BUY-SIGNAL
2020-03-18,BUY,BOL.ST,135.51,9,69,21255,BUY-SIGNAL
2020-03-18,BUY,EQT.ST,74.30,16,69,19997,BUY-SIGNAL
2020-03-18,BUY,ERIC-B.ST,58.74,21,69,18694,BUY-SIGNAL
2020-03-18,BUY,EVO.ST,291.45,4,69,17460,BUY-SIGNAL
2020-03-18,BUY,HM-B.ST,86.55,14,69,16179,BUY-SIGNAL
2020-03-18,BUY,INDU-C.ST,150.51,8,69,14906,BUY-SIGNAL
2020-03-18,BUY,INVE-B.ST,87.75,14,69,13608,BUY-SIGNAL
2020-03-18,BUY,LIFCO-B.ST,60.62,20,69,12327,BUY-SIGNAL
2020-03-18,BUY,NDA-SE.ST,49.80,25,69,11013,BUY-SIGNAL
2020-03-18,BUY,NIBE-B.ST,28.45,44,69,9692,BUY-SIGNAL
